date,city,reservoir_name,fill_rate_pct
2025-10-31,istanbul,KAZANDERE,2.22
2025-11-30,istanbul,KAZANDERE,2.79
2025-12-31,istanbul,KAZANDERE,4.63
2026-01-31,istanbul,KAZANDERE,4.03
2025-01-31,istanbul,PABUCDERE,53.75
2025-02-28,istanbul,PABUCDERE,79.84
2025-03-31,istanbul,PABUCDERE,84.07
2025-04-30,istanbul,PABUCDERE,95.49
2025-05-31,istanbul,PABUCDERE,82.95
2025-06-30,istanbul,PABUCDERE,65.18
2025-07-31,istanbul,PABUCDERE,46.76
2025-08-31,istanbul,PABUCDERE,31.28
2025-09-30,istanbul,PABUCDERE,16.51
2025-10-31,istanbul,PABUCDERE,5.52
2025-11-30,istanbul,PABUCDERE,2.88
2025-12-31,istanbul,PABUCDERE,4.0
2026-01-31,istanbul,PABUCDERE,7.43
2025-01-31,istanbul,SAZLIDERE,43.04
2025-02-28,istanbul,SAZLIDERE,55.7
2025-03-31,istanbul,SAZLIDERE,58.36
2025-04-30,istanbul,SAZLIDERE,58.22
2025-05-31,istanbul,SAZLIDERE,56.46
2025-06-30,istanbul,SAZLIDERE,51.44
2025-07-31,istanbul,SAZLIDERE,44.55
2025-08-31,istanbul,SAZLIDERE,39.98
2025-09-30,istanbul,SAZLIDERE,30.81
2025-10-31,istanbul,SAZLIDERE,24.19
2025-11-30,istanbul,SAZLIDERE,17.98
2025-12-31,istanbul,SAZLIDERE,13.91
2026-01-31,istanbul,SAZLIDERE,16.41
2025-01-31,istanbul,TERKOS,51.71
2025-02-28,istanbul,TERKOS,76.6
2025-03-31,istanbul,TERKOS,80.62
2025-04-30,istanbul,TERKOS,80.77
2025-05-31,istanbul,TERKOS,77.39
2025-06-30,istanbul,TERKOS,69.12
2025-07-31,istanbul,TERKOS,56.98
2025-08-31,istanbul,TERKOS,45.42
2025-09-30,istanbul,TERKOS,35.26
2025-10-31,istanbul,TERKOS,26.11
2025-11-30,istanbul,TERKOS,20.59
2025-12-31,istanbul,TERKOS,17.39
2026-01-31,istanbul,TERKOS,16.67
2025-01-31,istanbul,OMERLI,54.28
2025-02-28,istanbul,OMERLI,81.77
2025-03-31,istanbul,OMERLI,93.3
2025-04-30,istanbul,OMERLI,93.66
2025-05-31,istanbul,OMERLI,88.07
2025-06-30,istanbul,OMERLI,72.67
2025-07-31,istanbul,OMERLI,53.44
2025-08-31,istanbul,OMERLI,35.84
2025-09-30,istanbul,OMERLI,19.8
2025-10-31,istanbul,OMERLI,17.88
2025-11-30,istanbul,OMERLI,15.13
2025-12-31,istanbul,OMERLI,20.2
2026-01-31,istanbul,OMERLI,40.51
2025-01-31,izmir,TAHTALI,15.09
2025-02-28,izmir,TAHTALI,15.75
2025-03-31,izmir,TAHTALI,15.05
2025-04-30,izmir,TAHTALI,15.51
2025-05-31,izmir,TAHTALI,14.31
2025-06-30,izmir,TAHTALI,12.11
2025-07-31,izmir,TAHTALI,8.57
2025-08-31,izmir,TAHTALI,5.74
2025-09-30,izmir,TAHTALI,3.54
2025-10-31,izmir,TAHTALI,1.77
2025-11-30,izmir,TAHTALI,1.07
2025-12-31,izmir,TAHTALI,0.14
2026-01-31,izmir,TAHTALI,
2025-01-31,izmir,BALCOVA,33.23
2025-02-28,izmir,BALCOVA,37.19
2025-03-31,izmir,BALCOVA,38.73
2025-04-30,izmir,BALCOVA,42.48
2025-05-31,izmir,BALCOVA,43.03
2025-06-30,izmir,BALCOVA,41.52
2025-07-31,izmir,BALCOVA,30.53
2025-08-31,izmir,BALCOVA,16.56
2025-09-30,izmir,BALCOVA,5.3
2025-10-31,izmir,BALCOVA,0.0
2025-11-30,izmir,BALCOVA,0.0
2025-12-31,izmir,BALCOVA,0.0
2026-01-31,izmir,BALCOVA,
2025-01-31,izmir,URKMEZ,27.16
2025-02-28,izmir,URKMEZ,27.13
2025-03-31,izmir,URKMEZ,26.9
2025-04-30,izmir,URKMEZ,26.42
2025-05-31,izmir,URKMEZ,24.75
2025-06-30,izmir,URKMEZ,19.09
2025-07-31,izmir,URKMEZ,11.04
2025-08-31,izmir,URKMEZ,6.28
2025-09-30,izmir,URKMEZ,3.21
2025-10-31,izmir,URKMEZ,3.7
2025-11-30,izmir,URKMEZ,3.33
2025-12-31,izmir,URKMEZ,6.68
2026-01-31,izmir,URKMEZ,
2025-01-31,izmir,GUZELHISAR,70.19
2025-02-28,izmir,GUZELHISAR,69.38
2025-03-31,izmir,GUZELHISAR,67.85
2025-04-30,izmir,GUZELHISAR,66.0
2025-05-31,izmir,GUZELHISAR,64.8
2025-06-30,izmir,GUZELHISAR,61.24
2025-07-31,izmir,GUZELHISAR,57.91
2025-08-31,izmir,GUZELHISAR,53.31
2025-09-30,izmir,GUZELHISAR,49.53
2025-10-31,izmir,GUZELHISAR,46.86
2025-11-30,izmir,GUZELHISAR,43.32
2025-12-31,izmir,GUZELHISAR,46.34
2026-01-31,izmir,GUZELHISAR,
2025-01-31,izmir,GORDES,5.96
2025-02-28,izmir,GORDES,6.02
2025-03-31,izmir,GORDES,5.23
2025-04-30,izmir,GORDES,5.33
2025-05-31,izmir,GORDES,3.78
2025-06-30,izmir,GORDES,1.45
2025-07-31,izmir,GORDES,0.25
2025-08-31,izmir,GORDES,0.0
2025-09-30,izmir,GORDES,0.0
2025-10-31,izmir,GORDES,0.0
2025-11-30,izmir,GORDES,0.0
2025-12-31,izmir,GORDES,0.0
2026-01-31,izmir,GORDES,
2025-01-31,izmir,ALACATI KUTLU,31.36
2025-02-28,izmir,ALACATI KUTLU,19.96
2025-03-31,izmir,ALACATI KUTLU,16.66
2025-04-30,izmir,ALACATI KUTLU,16.76
2025-05-31,izmir,ALACATI KUTLU,12.86
2025-06-30,izmir,ALACATI KUTLU,8.63
2025-07-31,izmir,ALACATI KUTLU,3.21
2025-08-31,izmir,ALACATI KUTLU,0.64
2025-09-30,izmir,ALACATI KUTLU,0.0
2025-10-31,izmir,ALACATI KUTLU,0.05
2025-11-30,izmir,ALACATI KUTLU,0.91
2025-12-31,izmir,ALACATI KUTLU,2.38
2026-01-31,izmir,ALACATI KUTLU,
